cve_id,cvss,access_vector,access_complexity,impact_confidentiality,impact_integrity,impact_availability,cwe_name
CVE-2019-15588,9.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE, Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
CVE-2019-2332,10.0,,,,,, Improper Restriction of Operations within the Bounds of a Memory Buffer
CVE-2019-2331,10.0,,,,,, Integer Overflow or Wraparound
CVE-2019-2325,10.0,,,,,, Improper Validation of Array Index
CVE-2019-2324,10.0,,,,,, Improper Restriction of Operations within the Bounds of a Memory Buffer
CVE-2019-2323,10.0,,,,,, Use of Uninitialized Resource
CVE-2019-2302,7.5,,,,,, Integer Overflow or Wraparound
CVE-2019-2285,10.0,,,,,, Out-of-bounds Write
CVE-2019-2283,10.0,,,,,, Improper Restriction of Operations within the Bounds of a Memory Buffer
CVE-2019-2258,10.0,,,,,, Improper Validation of Array Index
CVE-2019-2249,10.0,,,,,, Out-of-bounds Read
CVE-2019-2246,7.2,,,,,, Improper Restriction of Operations within the Bounds of a Memory Buffer
CVE-2019-10565,7.5,,,,,, Double Free
CVE-2019-10542,7.5,,,,,, Out-of-bounds Read
CVE-2019-10541,10.0,,,,,, Improper Restriction of Operations within the Bounds of a Memory Buffer
CVE-2019-10534,10.0,,,,,, NULL Pointer Dereference
CVE-2019-10533,10.0,,,,,, Improper Validation of Array Index
CVE-2019-10531,10.0,,,,,, Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2019-10529,9.3,,,,,, Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')
CVE-2019-10528,7.5,,,,,, Use After Free
CVE-2019-10522,7.5,,,,,, Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2019-10505,7.5,,,,,, Out-of-bounds Read
CVE-2011-4628,7.5,,,,,, Improper Authentication
CVE-2010-2446,7.5,,,,,, Improper Input Validation
CVE-2006-4243,10.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE, Improper Privilege Management
CVE-2019-18784,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
CVE-2019-3421,7.7,ADJACENT_NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE, Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')
CVE-2013-1910,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL, Improper Input Validation
CVE-2019-17266,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL, Out-of-bounds Read
CVE-2019-18464,7.5,NETWORK,LOW,PARTIAL,PARTIAL,PARTIAL, Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
CVE-2019-15710,9.0,NETWORK,LOW,COMPLETE,COMPLETE,COMPLETE, Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
